DriveFrequency,NumericalAmplitude,AnalyticalAmplitude,AnalyticalLowerStable,AnalyticalUpperStable,FinalTheta,FinalOmega
2.400000e+00,1.163619e-02,0.000000e+00,0.000000e+00,0.000000e+00,-9.612993e-03,-1.572747e-02
2.423333e+00,1.191531e-02,0.000000e+00,0.000000e+00,0.000000e+00,1.026108e-02,-1.466942e-02
2.446667e+00,1.221281e-02,0.000000e+00,0.000000e+00,0.000000e+00,1.217144e-02,2.334181e-03
2.470000e+00,1.252222e-02,0.000000e+00,0.000000e+00,0.000000e+00,9.493181e-03,-2.015125e-02
2.493333e+00,1.284167e-02,0.000000e+00,0.000000e+00,0.000000e+00,-1.246326e-02,-7.737362e-03
2.516667e+00,1.318548e-02,0.000000e+00,0.000000e+00,0.000000e+00,1.292538e-02,-6.631179e-03
2.540000e+00,1.355141e-02,0.000000e+00,0.000000e+00,0.000000e+00,6.191390e-03,3.064119e-02
2.563333e+00,1.394280e-02,0.000000e+00,0.000000e+00,0.000000e+00,7.588544e-03,2.999501e-02
2.586667e+00,1.435344e-02,0.000000e+00,0.000000e+00,0.000000e+00,1.256403e-02,-1.794965e-02
2.610000e+00,1.478208e-02,0.000000e+00,0.000000e+00,0.000000e+00,-1.427947e-02,9.994621e-03
2.633333e+00,1.523714e-02,0.000000e+00,0.000000e+00,0.000000e+00,2.320371e-03,-3.966869e-02
2.656667e+00,1.572041e-02,0.000000e+00,0.000000e+00,0.000000e+00,1.060354e-02,-3.084394e-02
2.680000e+00,1.624178e-02,0.000000e+00,0.000000e+00,0.000000e+00,-1.152231e-03,-4.338761e-02
2.703333e+00,1.678112e-02,0.000000e+00,0.000000e+00,0.000000e+00,-1.271737e-02,2.953712e-02
2.726667e+00,1.734965e-02,0.000000e+00,0.000000e+00,0.000000e+00,6.670422e-03,-4.362988e-02
2.750000e+00,1.794008e-02,0.000000e+00,0.000000e+00,0.000000e+00,1.784316e-02,5.026205e-03
2.773333e+00,1.855870e-02,0.000000e+00,0.000000e+00,0.000000e+00,1.856204e-02,-8.973066e-04
2.796667e+00,1.921037e-02,0.000000e+00,0.000000e+00,0.000000e+00,6.978921e-04,-5.371538e-02
2.820000e+00,1.990228e-02,0.000000e+00,0.000000e+00,0.000000e+00,-5.184778e-03,5.418614e-02
2.843333e+00,2.060751e-02,0.000000e+00,0.000000e+00,0.000000e+00,-1.622305e-02,-3.614804e-02
2.866667e+00,2.132314e-02,0.000000e+00,0.000000e+00,0.000000e+00,-6.929790e-03,-5.785334e-02
2.890000e+00,2.205582e-02,0.000000e+00,0.000000e+00,0.000000e+00,-2.016488e-02,-2.594124e-02
2.913333e+00,2.280614e-02,0.000000e+00,0.000000e+00,0.000000e+00,5.159403e-03,6.472928e-02
2.936667e+00,2.355778e-02,0.000000e+00,0.000000e+00,0.000000e+00,-1.517567e-02,-5.285295e-02
2.960000e+00,2.426865e-02,0.000000e+00,0.000000e+00,0.000000e+00,1.314506e-02,-6.032382e-02
2.983333e+00,2.491822e-02,0.000000e+00,0.000000e+00,0.000000e+00,1.084127e-02,-6.690778e-02
3.006667e+00,2.549263e-02,0.000000e+00,0.000000e+00,0.000000e+00,-2.234907e-02,-3.689696e-02
3.030000e+00,2.599448e-02,0.000000e+00,0.000000e+00,0.000000e+00,1.940300e-02,5.241298e-02
3.053333e+00,2.639229e-02,0.000000e+00,0.000000e+00,0.000000e+00,-2.383589e-02,3.451847e-02
3.076667e+00,2.663242e-02,0.000000e+00,0.000000e+00,0.000000e+00,-2.640547e-02,-1.063927e-02
3.100000e+00,2.670615e-02,0.000000e+00,0.000000e+00,0.000000e+00,-2.052342e-02,5.306824e-02
3.123333e+00,2.663252e-02,0.000000e+00,0.000000e+00,0.000000e+00,2.601269e-02,1.828973e-02
3.146667e+00,2.642850e-02,0.000000e+00,0.000000e+00,0.000000e+00,-2.554448e-02,2.157225e-02
3.170000e+00,2.608937e-02,0.000000e+00,0.000000e+00,0.000000e+00,-1.420668e-02,-6.934677e-02
3.193333e+00,2.559983e-02,0.000000e+00,0.000000e+00,0.000000e+00,-1.688150e-02,-6.137226e-02
3.216667e+00,2.496610e-02,0.000000e+00,0.000000e+00,0.000000e+00,-1.912796e-02,5.156517e-02
3.240000e+00,2.424316e-02,0.000000e+00,0.000000e+00,0.000000e+00,2.119631e-02,-3.813572e-02
3.263333e+00,2.347981e-02,0.000000e+00,0.000000e+00,0.000000e+00,3.484662e-03,7.574133e-02
3.286667e+00,2.266347e-02,0.000000e+00,0.000000e+00,0.000000e+00,-8.315664e-03,6.924069e-02
3.310000e+00,2.182166e-02,0.000000e+00,0.000000e+00,0.000000e+00,1.051066e-02,6.322043e-02
3.333333e+00,2.094674e-02,0.000000e+00,0.000000e+00,0.000000e+00,7.288137e-03,-6.546335e-02
3.356667e+00,2.008658e-02,0.000000e+00,0.000000e+00,0.000000e+00,3.797818e-03,6.628315e-02
3.380000e+00,1.926987e-02,0.000000e+00,0.000000e+00,0.000000e+00,-1.626186e-02,3.506791e-02
3.403333e+00,1.848551e-02,0.000000e+00,0.000000e+00,0.000000e+00,-1.316862e-02,4.418188e-02
3.426667e+00,1.772507e-02,0.000000e+00,0.000000e+00,0.000000e+00,1.297002e-02,4.137774e-02
