Time,Theta_Analytical,Theta,Omega,Theta_Errors,Omega_Errors,Energy
0.000000,0.450000,0.450000,0.000000,0.000000,0.000000,1.028461
0.010000,0.449764,0.449764,-0.047264,0.000000,0.000000,1.028461
0.020000,0.449055,0.449055,-0.094473,0.000000,0.000000,1.028461
0.030000,0.447875,0.447875,-0.141569,0.000000,0.000000,1.028461
0.040000,0.446224,0.446224,-0.188496,0.000000,0.000000,1.028461
0.050000,0.444105,0.444105,-0.235201,0.000000,0.000000,1.028461
0.060000,0.441521,0.441521,-0.281626,0.000000,0.000000,1.028461
0.070000,0.438474,0.438474,-0.327720,0.000000,0.000000,1.028461
0.080000,0.434968,0.434968,-0.373426,0.000000,0.000000,1.028461
0.090000,0.431007,0.431007,-0.418694,0.000000,0.000000,1.028461
0.100000,0.426596,0.426596,-0.463471,0.000000,0.000000,1.028461
0.110000,0.421739,0.421739,-0.507706,0.000000,0.000000,1.028461
0.120000,0.416443,0.416443,-0.551351,0.000000,0.000000,1.028461
0.130000,0.410714,0.410714,-0.594356,0.000000,0.000000,1.028461
0.140000,0.404559,0.404559,-0.636675,0.000000,0.000000,1.028461
0.150000,0.397983,0.397983,-0.678263,0.000000,0.000000,1.028461
0.160000,0.390996,0.390996,-0.719074,0.000000,0.000000,1.028461
0.170000,0.383605,0.383605,-0.759067,0.000000,0.000000,1.028461
0.180000,0.375818,0.375818,-0.798200,0.000000,0.000000,1.028461
0.190000,0.367644,0.367644,-0.836434,0.000000,0.000000,1.028461
0.200000,0.359092,0.359092,-0.873732,0.000000,0.000000,1.028461
0.210000,0.350172,0.350172,-0.910056,0.000000,0.000000,1.028461
0.220000,0.340894,0.340894,-0.945373,0.000000,0.000000,1.028461
0.230000,0.331268,0.331268,-0.979649,0.000000,0.000000,1.028461
0.240000,0.321305,0.321305,-1.012854,0.000000,0.000000,1.028461
0.250000,0.311015,0.311015,-1.044957,0.000000,0.000000,1.028461
0.260000,0.300409,0.300409,-1.075932,0.000000,0.000000,1.028461
0.270000,0.289500,0.289500,-1.105751,0.000000,0.000000,1.028461
0.280000,0.278298,0.278298,-1.134390,0.000000,0.000000,1.028461
0.290000,0.266816,0.266816,-1.161826,0.000000,0.000000,1.028461
0.300000,0.255066,0.255066,-1.188037,0.000000,0.000000,1.028461
0.310000,0.243060,0.243060,-1.213003,0.000000,0.000000,1.028461
0.320000,0.230810,0.230810,-1.236705,0.000000,0.000000,1.028461
0.330000,0.218330,0.218330,-1.259126,0.000000,0.000000,1.028461
0.340000,0.205632,0.205632,-1.280251,0.000000,0.000000,1.028461
0.350000,0.192729,0.192729,-1.300064,0.000000,0.000000,1.028461
0.360000,0.179635,0.179635,-1.318552,0.000000,0.000000,1.028461
0.370000,0.166363,0.166363,-1.335702,0.000000,0.000000,1.028461
0.380000,0.152925,0.152925,-1.351505,0.000000,0.000000,1.028461
0.390000,0.139337,0.139337,-1.365949,0.000000,0.000000,1.028461
0.400000,0.125611,0.125611,-1.379026,0.000000,0.000000,1.028461
0.410000,0.111761,0.111761,-1.390727,0.000000,0.000000,1.028461
0.420000,0.097801,0.097801,-1.401047,0.000000,0.000000,1.028461
0.430000,0.083745,0.083745,-1.409978,0.000000,0.000000,1.028461
0.440000,0.069606,0.069606,-1.417516,0.000000,0.000000,1.028461
0.450000,0.055399,0.055399,-1.423657,0.000000,0.000000,1.028461
0.460000,0.041138,0.041138,-1.428396,0.000000,0.000000,1.028461
0.470000,0.026836,0.026836,-1.431732,0.000000,0.000000,1.028461
0.480000,0.012508,0.012508,-1.433662,0.000000,0.000000,1.028461
0.490000,-0.001833,-0.001833,-1.434186,0.000000,0.000000,1.028461
0.500000,-0.016171,-0.016171,-1.433303,0.000000,0.000000,1.028461
0.510000,-0.030494,-0.030494,-1.431013,0.000000,0.000000,1.028461
0.520000,-0.044787,-0.044787,-1.427318,0.000000,0.000000,1.028461
0.530000,-0.059036,-0.059036,-1.422221,0.000000,0.000000,1.028461
0.540000,-0.073227,-0.073227,-1.415723,0.000000,0.000000,1.028461
0.550000,-0.087346,-0.087346,-1.407828,0.000000,0.000000,1.028461
0.560000,-0.101379,-0.101379,-1.398541,0.000000,0.000000,1.028461
0.570000,-0.115312,-0.115312,-1.387868,0.000000,0.000000,1.028461
0.580000,-0.129131,-0.129131,-1.375814,0.000000,0.000000,1.028461
0.590000,-0.142823,-0.142823,-1.362387,0.000000,0.000000,1.028461
0.600000,-0.156374,-0.156374,-1.347595,0.000000,0.000000,1.028461
0.610000,-0.169771,-0.169771,-1.331447,0.000000,0.000000,1.028461
0.620000,-0.182999,-0.182999,-1.313954,0.000000,0.000000,1.028461
0.630000,-0.196045,-0.196045,-1.295126,0.000000,0.000000,1.028461
0.640000,-0.208897,-0.208897,-1.274976,0.000000,0.000000,1.028461
0.650000,-0.221541,-0.221541,-1.253519,0.000000,0.000000,1.028461
0.660000,-0.233963,-0.233963,-1.230769,0.000000,0.000000,1.028461
0.670000,-0.246152,-0.246152,-1.206742,0.000000,0.000000,1.028461
0.680000,-0.258094,-0.258094,-1.181456,0.000000,0.000000,1.028461
0.690000,-0.269777,-0.269777,-1.154930,0.000000,0.000000,1.028461
0.700000,-0.281188,-0.281188,-1.127184,0.000000,0.000000,1.028461
0.710000,-0.292316,-0.292316,-1.098241,0.000000,0.000000,1.028461
0.720000,-0.303149,-0.303149,-1.068125,0.000000,0.000000,1.028461
0.730000,-0.313675,-0.313675,-1.036859,0.000000,0.000000,1.028461
0.740000,-0.323883,-0.323883,-1.004471,0.000000,0.000000,1.028461
0.750000,-0.333761,-0.333761,-0.970990,0.000000,0.000000,1.028461
0.760000,-0.343299,-0.343299,-0.936445,0.000000,0.000000,1.028461
0.770000,-0.352486,-0.352486,-0.900867,0.000000,0.000000,1.028461
0.780000,-0.361313,-0.361313,-0.864291,0.000000,0.000000,1.028461
0.790000,-0.369769,-0.369769,-0.826750,0.000000,0.000000,1.028461
0.800000,-0.377845,-0.377845,-0.788283,0.000000,0.000000,1.028461
0.810000,-0.385532,-0.385532,-0.748926,0.000000,0.000000,1.028461
0.820000,-0.392821,-0.392821,-0.708720,0.000000,0.000000,1.028461
0.830000,-0.399703,-0.399703,-0.667706,0.000000,0.000000,1.028461
