# t   theta_analytical   theta   omega   theta_errors   omega_errors   energy
0.0000000000e+00  2.0000000000e+00  2.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  2.0000000000e+00
1.0000000000e-02  1.9999000508e+00  1.9999000508e+00  -1.9984675414e-02  1.8742341013e-11  7.4957773981e-09  1.9999998002e+00
2.0000000000e-02  1.9996004133e+00  1.9996004130e+00  -3.9937413294e-02  2.9967006654e-10  5.9909903143e-08  1.9999984042e+00
3.0000000000e-02  1.9991014169e+00  1.9991014154e+00  -5.9856303557e-02  1.5156729205e-09  2.0193008156e-07  1.9999946230e+00
4.0000000000e-02  1.9984034108e+00  1.9984034060e+00  -7.9739466058e-02  4.7846353546e-09  4.7784004638e-07  1.9999872777e+00
5.0000000000e-02  1.9975067630e+00  1.9975067513e+00  -9.9585050553e-02  1.1664567756e-08  9.3135350625e-07  1.9999752019e+00
6.0000000000e-02  1.9964118604e+00  1.9964118363e+00  -1.1939123664e-01  2.4147083222e-08  1.6054501981e-06  1.9999572437e+00
7.0000000000e-02  1.9951191085e+00  1.9951190639e+00  -1.3915623368e-01  4.4649248299e-08  2.5422145008e-06  1.9999322682e+00
8.0000000000e-02  1.9936289308e+00  1.9936288548e+00  -1.5887828069e-01  7.6003835670e-08  3.7826770494e-06  1.9998991594e+00
9.0000000000e-02  1.9919417687e+00  1.9919416472e+00  -1.7855564618e-01  1.2144800832e-07  5.3666597844e-06  1.9998568223e+00
1.0000000000e-01  1.9900580811e+00  1.9900578965e+00  -1.9818662806e-01  1.8461047402e-07  7.3326248533e-06  1.9998041855e+00
1.1000000000e-01  1.9879783443e+00  1.9879780748e+00  -2.1776955341e-01  2.6949714860e-07  9.7175277748e-06  1.9997402022e+00
1.2000000000e-01  1.9857030516e+00  1.9857026711e+00  -2.3730277830e-01  3.8047537698e-07  1.2556675260e-05  1.9996638533e+00
1.3000000000e-01  1.9832327126e+00  1.9832321903e+00  -2.5678468756e-01  5.2225675207e-07  1.5883588068e-05  1.9995741483e+00
1.4000000000e-01  1.9805678536e+00  1.9805671537e+00  -2.7621369456e-01  6.9987859397e-07  1.9729869270e-05  1.9994701277e+00
1.5000000000e-01  1.9777090167e+00  1.9777080980e+00  -2.9558824094e-01  9.1868413765e-07  2.4125078258e-05  1.9993508645e+00
1.6000000000e-01  1.9746567598e+00  1.9746555755e+00  -3.1490679632e-01  1.1843014913e-06  2.9096610842e-05  1.9992154661e+00
1.7000000000e-01  1.9714116563e+00  1.9714101537e+00  -3.3416785800e-01  1.5026214280e-06  3.4669585753e-05  1.9990630757e+00
1.8000000000e-01  1.9679742947e+00  1.9679724149e+00  -3.5336995066e-01  1.8797740740e-06  4.0866737833e-05  1.9988928739e+00
1.9000000000e-01  1.9643452782e+00  1.9643429561e+00  -3.7251162602e-01  2.3221045660e-06  4.7708318214e-05  1.9987040803e+00
2.0000000000e-01  1.9605252247e+00  1.9605223885e+00  -3.9159146248e-01  2.8361477451e-06  5.5212001727e-05  1.9984959547e+00
2.1000000000e-01  1.9565147662e+00  1.9565113376e+00  -4.1060806475e-01  3.4286019608e-06  6.3392801792e-05  1.9982677985e+00
2.2000000000e-01  1.9523145489e+00  1.9523104426e+00  -4.2956006349e-01  4.1063020642e-06  7.2262993005e-05  1.9980189562e+00
2.3000000000e-01  1.9479252324e+00  1.9479203562e+00  -4.4844611486e-01  4.8761916651e-06  8.1832041619e-05  1.9977488160e+00
2.4000000000e-01  1.9433474898e+00  1.9433417445e+00  -4.6726490018e-01  5.7452947351e-06  9.2106544110e-05  1.9974568114e+00
2.5000000000e-01  1.9385820074e+00  1.9385752867e+00  -4.8601512545e-01  6.7206866357e-06  1.0309017397e-04  1.9971424222e+00
2.6000000000e-01  1.9336294842e+00  1.9336216748e+00  -5.0469552092e-01  7.8094646587e-06  1.1478363685e-04  1.9968051750e+00
2.7000000000e-01  1.9284906319e+00  1.9284816132e+00  -5.2330484063e-01  9.0187181587e-06  1.2718463425e-04  1.9964446444e+00
2.8000000000e-01  1.9231661744e+00  1.9231558189e+00  -5.4184186200e-01  1.0355498364e-05  1.4028783570e-04  1.9960604537e+00
2.9000000000e-01  1.9176568478e+00  1.9176450210e+00  -5.6030538526e-01  1.1826787955e-05  1.5408485967e-04  1.9956522756e+00
3.0000000000e-01  1.9119633996e+00  1.9119499602e+00  -5.7869423305e-01  1.3439470496e-05  1.6856426311e-04  1.9952198328e+00
3.1000000000e-01  1.9060865894e+00  1.9060713891e+00  -5.9700724989e-01  1.5200299802e-05  1.8371153976e-04  1.9947628983e+00
3.2000000000e-01  1.9000271876e+00  1.9000100717e+00  -6.1524330166e-01  1.7115869333e-05  1.9950912717e-04  1.9942812964e+00
3.3000000000e-01  1.8937859759e+00  1.8937667833e+00  -6.3340127510e-01  1.9192581707e-05  2.1593642245e-04  1.9937749024e+00
3.4000000000e-01  1.8873637467e+00  1.8873423101e+00  -6.5148007730e-01  2.1436618410e-05  2.3296980668e-04  1.9932436433e+00
3.5000000000e-01  1.8807613032e+00  1.8807374492e+00  -6.6947863515e-01  2.3853909791e-05  2.5058267794e-04  1.9926874980e+00
3.6000000000e-01  1.8739794585e+00  1.8739530084e+00  -6.8739589481e-01  2.6450105436e-05  2.6874549287e-04  1.9921064970e+00
3.7000000000e-01  1.8670190363e+00  1.8669898058e+00  -7.0523082116e-01  2.9230544994e-05  2.8742581671e-04  1.9915007230e+00
3.8000000000e-01  1.8598808701e+00  1.8598486698e+00  -7.2298239727e-01  3.2200229549e-05  3.0658838160e-04  1.9908703107e+00
3.9000000000e-01  1.8525658028e+00  1.8525304390e+00  -7.4064962382e-01  3.5363793615e-05  3.2619515308e-04  1.9902154464e+00
4.0000000000e-01  1.8450746873e+00  1.8450359618e+00  -7.5823151854e-01  3.8725477834e-05  3.4620540461e-04  1.9895363680e+00
4.1000000000e-01  1.8374083854e+00  1.8373660963e+00  -7.7572711568e-01  4.2289102467e-05  3.6657579992e-04  1.9888333649e+00
4.2000000000e-01  1.8295677683e+00  1.8295217103e+00  -7.9313546540e-01  4.6058041728e-05  3.8726048298e-04  1.9881067775e+00
4.3000000000e-01  1.8215537161e+00  1.8215036809e+00  -8.1045563324e-01  5.0035199082e-05  4.0821117543e-04  1.9873569966e+00
4.4000000000e-01  1.8133671176e+00  1.8133128946e+00  -8.2768669948e-01  5.4222983527e-05  4.2937728115e-04  1.9865844632e+00
4.5000000000e-01  1.8050088703e+00  1.8049502470e+00  -8.4482775865e-01  5.8623286974e-05  4.5070599776e-04  1.9857896679e+00
4.6000000000e-01  1.7964798799e+00  1.7964166425e+00  -8.6187791888e-01  6.3237462769e-05  4.7214243487e-04  1.9849731502e+00
4.7000000000e-01  1.7877810608e+00  1.7877129945e+00  -8.7883630137e-01  6.8066305431e-05  4.9362973862e-04  1.9841354977e+00
4.8000000000e-01  1.7789133353e+00  1.7788402253e+00  -8.9570203978e-01  7.3110031664e-05  5.1510922234e-04  1.9832773455e+00
4.9000000000e-01  1.7698776337e+00  1.7697992654e+00  -9.1247427965e-01  7.8368262708e-05  5.3652050300e-04  1.9823993754e+00
5.0000000000e-01  1.7606748941e+00  1.7605910541e+00  -9.2915217784e-01  8.3840008080e-05  5.5780164313e-04  1.9815023148e+00
5.1000000000e-01  1.7513060627e+00  1.7512165391e+00  -9.4573490195e-01  8.9523650759e-05  5.7888929775e-04  1.9805869358e+00
5.2000000000e-01  1.7417720930e+00  1.7416766761e+00  -9.6222162971e-01  9.5416933870e-05  5.9971886622e-04  1.9796540544e+00
5.3000000000e-01  1.7320739461e+00  1.7319724292e+00  -9.7861154843e-01  1.0151694890e-04  6.2022464837e-04  1.9787045291e+00
5.4000000000e-01  1.7222125906e+00  1.7221047705e+00  -9.9490385444e-01  1.0782012550e-04  6.4034000468e-04  1.9777392601e+00
5.5000000000e-01  1.7121890023e+00  1.7120746801e+00  -1.0110977525e+00  1.1432222293e-04  6.5999752017e-04  1.9767591877e+00
5.6000000000e-01  1.7020041644e+00  1.7018831461e+00  -1.0271924551e+00  1.2101832308e-04  6.7912917151e-04  1.9757652914e+00
5.7000000000e-01  1.6916590671e+00  1.6915311643e+00  -1.0431871823e+00  1.2790282530e-04  6.9766649698e-04  1.9747585886e+00
5.8000000000e-01  1.6811547077e+00  1.6810197383e+00  -1.0590811607e+00  1.3496944285e-04  7.1554076892e-04  1.9737401327e+00
5.9000000000e-01  1.6704920906e+00  1.6703498794e+00  -1.0748736230e+00  1.4221120109e-04  7.3268316827e-04  1.9727110126e+00
6.0000000000e-01  1.6596722272e+00  1.6595226067e+00  -1.0905638076e+00  1.4962043749e-04  7.4902496063e-04  1.9716723504e+00
6.1000000000e-01  1.6486961355e+00  1.6485389467e+00  -1.1061509581e+00  1.5718880333e-04  7.6449767371e-04  1.9706253006e+00
6.2000000000e-01  1.6375648408e+00  1.6373999335e+00  -1.1216343225e+00  1.6490726720e-04  7.7903327543e-04  1.9695710479e+00
6.3000000000e-01  1.6262793749e+00  1.6261066087e+00  -1.1370131527e+00  1.7276612033e-04  7.9256435248e-04  1.9685108062e+00
6.4000000000e-01  1.6148407764e+00  1.6146600214e+00  -1.1522867042e+00  1.8075498367e-04  8.0502428884e-04  1.9674458167e+00
6.5000000000e-01  1.6032500909e+00  1.6030612281e+00  -1.1674542353e+00  1.8886281671e-04  8.1634744378e-04  1.9663773462e+00
6.6000000000e-01  1.5915083705e+00  1.5913112926e+00  -1.1825150068e+00  1.9707792817e-04  8.2646932899e-04  1.9653066856e+00
6.7000000000e-01  1.5796166742e+00  1.5794112862e+00  -1.1974682814e+00  2.0538798836e-04  8.3532678441e-04  1.9642351481e+00
6.8000000000e-01  1.5675760678e+00  1.5673622877e+00  -1.2123133232e+00  2.1378004338e-04  8.4285815230e-04  1.9631640672e+00
6.9000000000e-01  1.5553876235e+00  1.5551653830e+00  -1.2270493969e+00  2.2224053096e-04  8.4900344916e-04  1.9620947955e+00
7.0000000000e-01  1.5430524208e+00  1.5428216655e+00  -1.2416757681e+00  2.3075529810e-04  8.5370453508e-04  1.9610287022e+00
7.1000000000e-01  1.5305715454e+00  1.5303322358e+00  -1.2561917018e+00  2.3930962029e-04  8.5690528012e-04  1.9599671718e+00
7.2000000000e-01  1.5179460902e+00  1.5176982020e+00  -1.2705964628e+00  2.4788822245e-04  8.5855172731e-04  1.9589116019e+00
7.3000000000e-01  1.5051771548e+00  1.5049206795e+00  -1.2848893148e+00  2.5647530148e-04  8.5859225189e-04  1.9578634015e+00
7.4000000000e-01  1.4922658457e+00  1.4920007912e+00  -1.2990695199e+00  2.6505455033e-04  8.5697771637e-04  1.9568239892e+00
7.5000000000e-01  1.4792132763e+00  1.4789396671e+00  -1.3131363382e+00  2.7360918363e-04  8.5366162104e-04  1.9557947909e+00
7.6000000000e-01  1.4660205668e+00  1.4657384449e+00  -1.3270890278e+00  2.8212196484e-04  8.4860024960e-04  1.9547772382e+00
7.7000000000e-01  1.4526888447e+00  1.4523982695e+00  -1.3409268436e+00  2.9057523472e-04  8.4175280955e-04  1.9537727665e+00
7.8000000000e-01  1.4392192443e+00  1.4389202934e+00  -1.3546490375e+00  2.9895094133e-04  8.3308156686e-04  1.9527828128e+00
7.9000000000e-01  1.4256129073e+00  1.4253056766e+00  -1.3682548578e+00  3.0723067120e-04  8.2255197478e-04  1.9518088139e+00
8.0000000000e-01  1.4118709823e+00  1.4115555867e+00  -1.3817435487e+00  3.1539568183e-04  8.1013279634e-04  1.9508522043e+00
8.1000000000e-01  1.3979946255e+00  1.3976711986e+00  -1.3951143499e+00  3.2342693540e-04  7.9579622027e-04  1.9499144143e+00
8.2000000000e-01  1.3839850003e+00  1.3836536952e+00  -1.4083664965e+00  3.3130513358e-04  7.7951796995e-04  1.9489968684e+00
8.3000000000e-01  1.3698432775e+00  1.3695042668e+00  -1.4214992185e+00  3.3901075334e-04  7.6127740533e-04  1.9481009824e+00
8.4000000000e-01  1.3555706356e+00  1.3552241115e+00  -1.4345117402e+00  3.4652408385e-04  7.4105761726e-04  1.9472281626e+00
8.5000000000e-01  1.3411682605e+00  1.3408144352e+00  -1.4474032803e+00  3.5382526420e-04  7.1884551424e-04  1.9463798027e+00
8.6000000000e-01  1.3266373461e+00  1.3262764518e+00  -1.4601730511e+00  3.6089432200e-04  6.9463190113e-04  1.9455572828e+00
8.7000000000e-01  1.3119790940e+00  1.3116113828e+00  -1.4728202587e+00  3.6771121265e-04  6.6841154977e-04  1.9447619669e+00
8.8000000000e-01  1.2971947137e+00  1.2968204578e+00  -1.4853441023e+00  3.7425585941e-04  6.4018326125e-04  1.9439952010e+00
8.9000000000e-01  1.2822854228e+00  1.2819049146e+00  -1.4977437740e+00  3.8050819391e-04  6.0994991957e-04  1.9432583113e+00
