# t   theta_analytical   theta   omega   theta_errors   omega_errors   energy
0.0000000000e+00  2.0000000000e+00  2.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  2.0000000000e+00
1.0000000000e-03  1.9999990080e+00  1.9999990080e+00  -1.9761905398e-03  4.4408920985e-16  2.8709673527e-15  1.9999999686e+00
2.0000000000e-03  1.9999960632e+00  1.9999960632e+00  -3.9055153856e-03  1.1102230246e-15  5.6044578700e-15  1.9999997530e+00
3.0000000000e-03  1.9999912122e+00  1.9999912122e+00  -5.7890845507e-03  1.5543122345e-15  8.2052420414e-15  1.9999991811e+00
4.0000000000e-03  1.9999845000e+00  1.9999845000e+00  -7.6279820933e-03  1.5543122345e-15  1.0677222995e-14  1.9999980931e+00
5.0000000000e-03  1.9999759707e+00  1.9999759707e+00  -9.4232667042e-03  1.7763568394e-15  1.3027773305e-14  1.9999963408e+00
6.0000000000e-03  1.9999656676e+00  1.9999656676e+00  -1.1175972283e-02  1.7763568394e-15  1.5249954077e-14  1.9999937870e+00
7.0000000000e-03  1.9999536327e+00  1.9999536327e+00  -1.2887108501e-02  1.7763568394e-15  1.7362847271e-14  1.9999903052e+00
8.0000000000e-03  1.9999399069e+00  1.9999399069e+00  -1.4557661356e-02  1.7763568394e-15  1.9369922333e-14  1.9999857784e+00
9.0000000000e-03  1.9999245305e+00  1.9999245305e+00  -1.6188593708e-02  1.9984014443e-15  2.1267709815e-14  1.9999800992e+00
1.0000000000e-02  1.9999075426e+00  1.9999075426e+00  -1.7780845812e-02  1.7763568394e-15  2.3057944443e-14  1.9999731688e+00
1.1000000000e-02  1.9998889814e+00  1.9998889814e+00  -1.9335335830e-02  1.7763568394e-15  2.4764912343e-14  1.9999648966e+00
1.2000000000e-02  1.9998688843e+00  1.9998688843e+00  -2.0852960345e-02  1.5543122345e-15  2.6360857941e-14  1.9999552001e+00
1.3000000000e-02  1.9998472875e+00  1.9998472875e+00  -2.2334594847e-02  1.3322676296e-15  2.7873536812e-14  1.9999440038e+00
1.4000000000e-02  1.9998242268e+00  1.9998242268e+00  -2.3781094225e-02  1.1102230246e-15  2.9292540615e-14  1.9999312392e+00
1.5000000000e-02  1.9997997368e+00  1.9997997368e+00  -2.5193293235e-02  1.3322676296e-15  3.0631747139e-14  1.9999168446e+00
1.6000000000e-02  1.9997738514e+00  1.9997738514e+00  -2.6572006970e-02  1.1102230246e-15  3.1884217488e-14  1.9999007641e+00
1.7000000000e-02  1.9997466036e+00  1.9997466036e+00  -2.7918031307e-02  1.3322676296e-15  3.3063829452e-14  1.9998829476e+00
1.8000000000e-02  1.9997180259e+00  1.9997180259e+00  -2.9232143354e-02  1.5543122345e-15  3.4163644136e-14  1.9998633507e+00
1.9000000000e-02  1.9996881497e+00  1.9996881497e+00  -3.0515101885e-02  1.5543122345e-15  3.5201008775e-14  1.9998419338e+00
2.0000000000e-02  1.9996570059e+00  1.9996570059e+00  -3.1767647759e-02  1.7763568394e-15  3.6165515027e-14  1.9998186623e+00
2.1000000000e-02  1.9996246243e+00  1.9996246243e+00  -3.2990504342e-02  1.5543122345e-15  3.7067571235e-14  1.9997935058e+00
2.2000000000e-02  1.9995910345e+00  1.9995910345e+00  -3.4184377906e-02  1.5543122345e-15  3.7900238503e-14  1.9997664385e+00
2.3000000000e-02  1.9995562650e+00  1.9995562650e+00  -3.5349958031e-02  1.7763568394e-15  3.8656577939e-14  1.9997374382e+00
2.4000000000e-02  1.9995203438e+00  1.9995203438e+00  -3.6487917989e-02  1.9984014443e-15  3.9371284011e-14  1.9997064867e+00
2.5000000000e-02  1.9994832982e+00  1.9994832982e+00  -3.7598915125e-02  2.2204460493e-15  4.0030478932e-14  1.9996735690e+00
2.6000000000e-02  1.9994451547e+00  1.9994451547e+00  -3.8683591227e-02  2.2204460493e-15  4.0627223807e-14  1.9996386735e+00
2.7000000000e-02  1.9994059395e+00  1.9994059395e+00  -3.9742572891e-02  2.4424906542e-15  4.1182335320e-14  1.9996017916e+00
2.8000000000e-02  1.9993656780e+00  1.9993656780e+00  -4.0776471871e-02  2.2204460493e-15  4.1688874575e-14  1.9995629174e+00
2.9000000000e-02  1.9993243948e+00  1.9993243948e+00  -4.1785885427e-02  2.6645352591e-15  4.2132963785e-14  1.9995220479e+00
3.0000000000e-02  1.9992821142e+00  1.9992821142e+00  -4.2771396666e-02  1.9984014443e-15  4.2542358525e-14  1.9994791822e+00
