Time,Theta_Numerical,Theta_Analytical,Difference
0.000000,0.100000,0.100000,0.000000
0.010000,0.099976,0.099976,0.000000
0.020000,0.099904,0.099904,0.000000
0.030000,0.099785,0.099785,0.000001
0.040000,0.099619,0.099618,0.000001
0.050000,0.099407,0.099405,0.000002
0.060000,0.099148,0.099145,0.000003
0.070000,0.098843,0.098839,0.000004
0.080000,0.098493,0.098488,0.000005
0.090000,0.098098,0.098092,0.000006
0.100000,0.097659,0.097651,0.000008
0.110000,0.097176,0.097166,0.000009
0.120000,0.096650,0.096639,0.000011
0.130000,0.096081,0.096068,0.000013
0.140000,0.095471,0.095456,0.000015
0.150000,0.094820,0.094803,0.000017
0.160000,0.094128,0.094109,0.000019
0.170000,0.093397,0.093375,0.000022
0.180000,0.092627,0.092603,0.000024
0.190000,0.091819,0.091792,0.000027
0.200000,0.090974,0.090945,0.000029
0.210000,0.090093,0.090061,0.000032
0.220000,0.089176,0.089142,0.000035
0.230000,0.088225,0.088188,0.000037
0.240000,0.087241,0.087200,0.000040
0.250000,0.086224,0.086180,0.000043
0.260000,0.085175,0.085129,0.000046
0.270000,0.084096,0.084047,0.000049
0.280000,0.082987,0.082935,0.000052
0.290000,0.081850,0.081795,0.000055
0.300000,0.080685,0.080627,0.000059
0.310000,0.079494,0.079433,0.000062
0.320000,0.078278,0.078213,0.000065
0.330000,0.077038,0.076970,0.000068
0.340000,0.075774,0.075703,0.000071
0.350000,0.074488,0.074414,0.000074
0.360000,0.073182,0.073105,0.000077
0.370000,0.071856,0.071776,0.000080
0.380000,0.070511,0.070428,0.000083
0.390000,0.069149,0.069062,0.000086
0.400000,0.067770,0.067681,0.000089
0.410000,0.066376,0.066284,0.000092
0.420000,0.064969,0.064874,0.000095
0.430000,0.063548,0.063451,0.000098
0.440000,0.062116,0.062016,0.000100
0.450000,0.060673,0.060570,0.000103
0.460000,0.059221,0.059116,0.000106
0.470000,0.057761,0.057653,0.000108
0.480000,0.056293,0.056183,0.000110
0.490000,0.054820,0.054708,0.000113
0.500000,0.053342,0.053227,0.000115
0.510000,0.051860,0.051744,0.000117
0.520000,0.050376,0.050257,0.000119
0.530000,0.048891,0.048770,0.000121
0.540000,0.047405,0.047282,0.000123
0.550000,0.045920,0.045795,0.000124
0.560000,0.044437,0.044311,0.000126
0.570000,0.042956,0.042829,0.000127
0.580000,0.041480,0.041352,0.000129
0.590000,0.040009,0.039879,0.000130
0.600000,0.038544,0.038413,0.000131
0.610000,0.037086,0.036954,0.000132
0.620000,0.035636,0.035503,0.000133
0.630000,0.034195,0.034062,0.000133
0.640000,0.032764,0.032631,0.000134
0.650000,0.031345,0.031210,0.000134
0.660000,0.029937,0.029802,0.000135
0.670000,0.028541,0.028407,0.000135
0.680000,0.027160,0.027025,0.000135
0.690000,0.025793,0.025658,0.000135
0.700000,0.024441,0.024306,0.000135
0.710000,0.023105,0.022971,0.000134
0.720000,0.021787,0.021653,0.000134
0.730000,0.020485,0.020352,0.000133
0.740000,0.019203,0.019070,0.000133
0.750000,0.017939,0.017807,0.000132
0.760000,0.016695,0.016564,0.000131
0.770000,0.015472,0.015342,0.000130
0.780000,0.014269,0.014141,0.000128
0.790000,0.013088,0.012961,0.000127
0.800000,0.011930,0.011804,0.000126
0.810000,0.010794,0.010669,0.000124
0.820000,0.009681,0.009558,0.000123
0.830000,0.008592,0.008471,0.000121
0.840000,0.007527,0.007408,0.000119
0.850000,0.006486,0.006369,0.000117
0.860000,0.005471,0.005356,0.000115
0.870000,0.004481,0.004368,0.000113
0.880000,0.003516,0.003406,0.000110
0.890000,0.002577,0.002470,0.000108
0.900000,0.001665,0.001560,0.000105
0.910000,0.000779,0.000676,0.000103
0.920000,-0.000080,-0.000180,0.000100
0.930000,-0.000913,-0.001010,0.000097
0.940000,-0.001718,-0.001813,0.000095
0.950000,-0.002497,-0.002589,0.000092
0.960000,-0.003248,-0.003337,0.000089
0.970000,-0.003973,-0.004058,0.000086
0.980000,-0.004670,-0.004752,0.000082
0.990000,-0.005339,-0.005418,0.000079
1.000000,-0.005982,-0.006058,0.000076
1.010000,-0.006597,-0.006670,0.000073
1.020000,-0.007186,-0.007255,0.000069
1.030000,-0.007747,-0.007813,0.000066
1.040000,-0.008282,-0.008344,0.000062
1.050000,-0.008790,-0.008849,0.000059
1.060000,-0.009271,-0.009327,0.000055
1.070000,-0.009727,-0.009779,0.000052
1.080000,-0.010157,-0.010205,0.000048
1.090000,-0.010561,-0.010605,0.000044
1.100000,-0.010939,-0.010980,0.000041
1.110000,-0.011293,-0.011330,0.000037
1.120000,-0.011622,-0.011656,0.000033
1.130000,-0.011927,-0.011957,0.000030
1.140000,-0.012208,-0.012234,0.000026
1.150000,-0.012466,-0.012488,0.000022
1.160000,-0.012701,-0.012719,0.000018
1.170000,-0.012913,-0.012928,0.000015
1.180000,-0.013104,-0.013115,0.000011
1.190000,-0.013273,-0.013280,0.000007
1.200000,-0.013420,-0.013424,0.000003
1.210000,-0.013548,-0.013548,0.000000
1.220000,-0.013656,-0.013652,0.000004
1.230000,-0.013744,-0.013737,0.000008
1.240000,-0.013814,-0.013803,0.000011
1.250000,-0.013866,-0.013851,0.000015
1.260000,-0.013901,-0.013882,0.000018
1.270000,-0.013919,-0.013897,0.000022
1.280000,-0.013921,-0.013895,0.000026
1.290000,-0.013907,-0.013878,0.000029
1.300000,-0.013879,-0.013847,0.000032
1.310000,-0.013837,-0.013801,0.000036
1.320000,-0.013781,-0.013742,0.000039
1.330000,-0.013714,-0.013671,0.000042
1.340000,-0.013634,-0.013588,0.000046
1.350000,-0.013543,-0.013494,0.000049
1.360000,-0.013442,-0.013390,0.000052
1.370000,-0.013331,-0.013276,0.000055
1.380000,-0.013211,-0.013153,0.000058
1.390000,-0.013083,-0.013023,0.000061
1.400000,-0.012948,-0.012885,0.000064
1.410000,-0.012807,-0.012740,0.000066
1.420000,-0.012659,-0.012590,0.000069
1.430000,-0.012507,-0.012435,0.000071
1.440000,-0.012350,-0.012276,0.000074
1.450000,-0.012190,-0.012114,0.000076
1.460000,-0.012027,-0.011948,0.000079
1.470000,-0.011862,-0.011781,0.000081
1.480000,-0.011696,-0.011613,0.000083
1.490000,-0.011529,-0.011444,0.000085
1.500000,-0.011363,-0.011276,0.000087
1.510000,-0.011198,-0.011109,0.000089
1.520000,-0.011034,-0.010944,0.000091
1.530000,-0.010874,-0.010781,0.000092
1.540000,-0.010716,-0.010622,0.000094
1.550000,-0.010562,-0.010467,0.000095
1.560000,-0.010413,-0.010316,0.000097
1.570000,-0.010269,-0.010171,0.000098
1.580000,-0.010132,-0.010032,0.000099
1.590000,-0.010001,-0.009900,0.000100
1.600000,-0.009877,-0.009776,0.000101
1.610000,-0.009761,-0.009659,0.000102
1.620000,-0.009654,-0.009551,0.000103
1.630000,-0.009557,-0.009453,0.000104
1.640000,-0.009469,-0.009365,0.000104
1.650000,-0.009391,-0.009287,0.000105
1.660000,-0.009325,-0.009220,0.000105
1.670000,-0.009270,-0.009165,0.000105
1.680000,-0.009228,-0.009123,0.000105
1.690000,-0.009198,-0.009093,0.000105
1.700000,-0.009181,-0.009076,0.000105
1.710000,-0.009178,-0.009073,0.000105
1.720000,-0.009189,-0.009084,0.000105
1.730000,-0.009215,-0.009110,0.000104
1.740000,-0.009255,-0.009151,0.000104
1.750000,-0.009311,-0.009208,0.000103
1.760000,-0.009383,-0.009280,0.000103
1.770000,-0.009471,-0.009369,0.000102
1.780000,-0.009575,-0.009474,0.000101
1.790000,-0.009696,-0.009596,0.000100
1.800000,-0.009835,-0.009736,0.000099
1.810000,-0.009991,-0.009893,0.000098
1.820000,-0.010164,-0.010067,0.000097
1.830000,-0.010355,-0.010260,0.000095
1.840000,-0.010565,-0.010471,0.000094
1.850000,-0.010792,-0.010700,0.000092
1.860000,-0.011038,-0.010948,0.000091
1.870000,-0.011303,-0.011214,0.000089
1.880000,-0.011587,-0.011499,0.000087
1.890000,-0.011889,-0.011803,0.000086
1.900000,-0.012210,-0.012126,0.000084
1.910000,-0.012550,-0.012468,0.000082
1.920000,-0.012909,-0.012830,0.000080
1.930000,-0.013287,-0.013210,0.000078
1.940000,-0.013684,-0.013609,0.000075
1.950000,-0.014100,-0.014027,0.000073
1.960000,-0.014534,-0.014464,0.000071
1.970000,-0.014988,-0.014919,0.000068
1.980000,-0.015460,-0.015394,0.000066
1.990000,-0.015950,-0.015887,0.000064
2.000000,-0.016459,-0.016398,0.000061
2.010000,-0.016986,-0.016927,0.000059
2.020000,-0.017531,-0.017475,0.000056
2.030000,-0.018093,-0.018040,0.000053
2.040000,-0.018673,-0.018622,0.000051
2.050000,-0.019270,-0.019222,0.000048
2.060000,-0.019884,-0.019839,0.000045
2.070000,-0.020515,-0.020472,0.000042
2.080000,-0.021162,-0.021122,0.000040
2.090000,-0.021825,-0.021788,0.000037
2.100000,-0.022503,-0.022469,0.000034
2.110000,-0.023196,-0.023165,0.000031
2.120000,-0.023905,-0.023876,0.000028
2.130000,-0.024627,-0.024602,0.000025
2.140000,-0.025363,-0.025341,0.000023
2.150000,-0.026113,-0.026094,0.000020
2.160000,-0.026876,-0.026859,0.000017
2.170000,-0.027651,-0.027637,0.000014
2.180000,-0.028438,-0.028427,0.000011
2.190000,-0.029237,-0.029228,0.000008
2.200000,-0.030046,-0.030041,0.000005
2.210000,-0.030865,-0.030863,0.000002
2.220000,-0.031695,-0.031695,0.000001
2.230000,-0.032533,-0.032536,0.000003
2.240000,-0.033380,-0.033386,0.000006
2.250000,-0.034235,-0.034244,0.000009
2.260000,-0.035097,-0.035109,0.000012
2.270000,-0.035966,-0.035981,0.000014
2.280000,-0.036841,-0.036859,0.000017
2.290000,-0.037722,-0.037742,0.000020
2.300000,-0.038607,-0.038629,0.000022
2.310000,-0.039497,-0.039521,0.000025
2.320000,-0.040389,-0.040417,0.000027
2.330000,-0.041285,-0.041315,0.000030
2.340000,-0.042182,-0.042215,0.000032
2.350000,-0.043081,-0.043116,0.000035
2.360000,-0.043981,-0.044018,0.000037
2.370000,-0.044881,-0.044920,0.000039
2.380000,-0.045780,-0.045821,0.000041
2.390000,-0.046677,-0.046721,0.000043
2.400000,-0.047573,-0.047618,0.000045
2.410000,-0.048465,-0.048513,0.000047
2.420000,-0.049354,-0.049404,0.000049
2.430000,-0.050239,-0.050290,0.000051
2.440000,-0.051119,-0.051172,0.000053
2.450000,-0.051993,-0.052048,0.000054
2.460000,-0.052861,-0.052917,0.000056
2.470000,-0.053722,-0.053779,0.000057
2.480000,-0.054575,-0.054634,0.000059
2.490000,-0.055420,-0.055480,0.000060
2.500000,-0.056255,-0.056317,0.000061
2.510000,-0.057081,-0.057143,0.000062
2.520000,-0.057896,-0.057960,0.000063
2.530000,-0.058700,-0.058765,0.000064
2.540000,-0.059493,-0.059558,0.000065
2.550000,-0.060272,-0.060338,0.000066
2.560000,-0.061039,-0.061105,0.000066
2.570000,-0.061792,-0.061859,0.000067
2.580000,-0.062530,-0.062598,0.000067
2.590000,-0.063254,-0.063322,0.000068
2.600000,-0.063962,-0.064030,0.000068
2.610000,-0.064654,-0.064721,0.000068
2.620000,-0.065328,-0.065396,0.000068
2.630000,-0.065986,-0.066053,0.000068
2.640000,-0.066625,-0.066693,0.000067
2.650000,-0.067246,-0.067313,0.000067
2.660000,-0.067849,-0.067915,0.000066
2.670000,-0.068431,-0.068497,0.000066
2.680000,-0.068994,-0.069059,0.000065
2.690000,-0.069536,-0.069600,0.000064
2.700000,-0.070057,-0.070120,0.000063
2.710000,-0.070556,-0.070618,0.000062
2.720000,-0.071034,-0.071095,0.000061
2.730000,-0.071489,-0.071549,0.000060
2.740000,-0.071921,-0.071980,0.000058
2.750000,-0.072331,-0.072388,0.000057
2.760000,-0.072717,-0.072772,0.000055
2.770000,-0.073079,-0.073132,0.000054
2.780000,-0.073417,-0.073468,0.000052
2.790000,-0.073730,-0.073780,0.000050
2.800000,-0.074018,-0.074066,0.000048
2.810000,-0.074282,-0.074327,0.000046
2.820000,-0.074520,-0.074563,0.000043
2.830000,-0.074732,-0.074773,0.000041
2.840000,-0.074918,-0.074957,0.000039
2.850000,-0.075079,-0.075115,0.000036
2.860000,-0.075213,-0.075246,0.000033
2.870000,-0.075321,-0.075352,0.000031
2.880000,-0.075402,-0.075430,0.000028
2.890000,-0.075457,-0.075482,0.000025
2.900000,-0.075484,-0.075506,0.000022
2.910000,-0.075485,-0.075504,0.000019
2.920000,-0.075459,-0.075475,0.000016
2.930000,-0.075406,-0.075419,0.000013
2.940000,-0.075326,-0.075335,0.000009
2.950000,-0.075219,-0.075225,0.000006
2.960000,-0.075085,-0.075087,0.000003
2.970000,-0.074923,-0.074923,0.000001
2.980000,-0.074735,-0.074731,0.000004
2.990000,-0.074520,-0.074512,0.000008
3.000000,-0.074278,-0.074267,0.000011
3.010000,-0.074010,-0.073995,0.000015
3.020000,-0.073715,-0.073696,0.000019
3.030000,-0.073393,-0.073371,0.000022
3.040000,-0.073046,-0.073020,0.000026
3.050000,-0.072672,-0.072642,0.000030
3.060000,-0.072272,-0.072239,0.000033
3.070000,-0.071847,-0.071810,0.000037
3.080000,-0.071396,-0.071355,0.000041
3.090000,-0.070920,-0.070876,0.000045
3.100000,-0.070420,-0.070371,0.000048
3.110000,-0.069894,-0.069842,0.000052
3.120000,-0.069345,-0.069289,0.000056
3.130000,-0.068771,-0.068712,0.000060
3.140000,-0.068174,-0.068111,0.000063
