# t   theta_analytical   theta   omega   theta_errors   omega_errors   energy
0.0000000000e+00  3.0000000000e-01  3.0000000000e-01  -8.0000000000e-01  0.0000000000e+00  0.0000000000e+00  7.5814904168e-01
1.0000000000e-03  2.9919909023e-01  2.9919911214e-01  -8.0177405840e-01  2.1904763225e-08  4.3740954497e-05  7.5725105140e-01
2.0000000000e-03  2.9839636787e-01  2.9839645521e-01  -8.0353812415e-01  8.7344970590e-08  8.7071094221e-05  7.5634908964e-01
3.0000000000e-03  2.9759184331e-01  2.9759203922e-01  -8.0529219284e-01  1.9591042755e-07  1.2999166205e-04  7.5544317016e-01
4.0000000000e-03  2.9678552697e-01  2.9678587416e-01  -8.0703626017e-01  3.4719218950e-07  1.7250391484e-04  7.5453330686e-01
5.0000000000e-03  2.9597742925e-01  2.9597797004e-01  -8.0877032192e-01  5.4078257566e-07  2.1460912323e-04  7.5361951380e-01
6.0000000000e-03  2.9516756058e-01  2.9516833685e-01  -8.1049437394e-01  7.7627518247e-07  2.5630857152e-04  7.5270180521e-01
7.0000000000e-03  2.9435593136e-01  2.9435698463e-01  -8.1220841221e-01  1.0532648978e-06  2.9760355750e-04  7.5178019545e-01
8.0000000000e-03  2.9354255202e-01  2.9354392337e-01  -8.1391243279e-01  1.3713479136e-06  3.3849539225e-04  7.5085469906e-01
9.0000000000e-03  2.9272743298e-01  2.9272916310e-01  -8.1560643182e-01  1.7301217399e-06  3.7898540004e-04  7.4992533072e-01
1.0000000000e-02  2.9191058466e-01  2.9191271385e-01  -8.1729040554e-01  2.1291852170e-06  4.1907491812e-04  7.4899210525e-01
1.1000000000e-02  2.9109201750e-01  2.9109458563e-01  -8.1896435029e-01  2.5681385294e-06  4.5876529659e-04  7.4805503764e-01
1.2000000000e-02  2.9027174191e-01  2.9027478849e-01  -8.2062826250e-01  3.0465832178e-06  4.9805789820e-04  7.4711414302e-01
