Time,Theta_Analytical,Theta,Omega,Theta_Errors,Omega_Errors,Energy
0.000000,0.100000,0.100000,0.000000,0.000000,0.000000,0.049009
0.001000,0.100000,0.100000,-0.000479,0.000000,0.000002,0.049009
0.002000,0.099999,0.099999,-0.000958,0.000000,0.000003,0.049009
0.003000,0.099998,0.099998,-0.001437,0.000000,0.000005,0.049008
0.004000,0.099996,0.099996,-0.001916,0.000000,0.000007,0.049007
0.005000,0.099994,0.099994,-0.002394,0.000000,0.000008,0.049006
0.006000,0.099991,0.099991,-0.002872,0.000000,0.000010,0.049005
0.007000,0.099988,0.099988,-0.003349,0.000000,0.000011,0.049003
0.008000,0.099985,0.099985,-0.003827,0.000000,0.000013,0.049001
0.009000,0.099981,0.099981,-0.004304,0.000000,0.000015,0.048999
0.010000,0.099976,0.099976,-0.004781,0.000000,0.000016,0.048997
0.011000,0.099971,0.099971,-0.005258,0.000000,0.000018,0.048995
0.012000,0.099965,0.099966,-0.005734,0.000000,0.000020,0.048992
0.013000,0.099959,0.099960,-0.006210,0.000000,0.000021,0.048989
0.014000,0.099953,0.099953,-0.006686,0.000000,0.000023,0.048986
0.015000,0.099946,0.099946,-0.007161,0.000000,0.000024,0.048982
0.016000,0.099939,0.099939,-0.007637,0.000000,0.000026,0.048978
0.017000,0.099931,0.099931,-0.008111,0.000000,0.000028,0.048974
0.018000,0.099922,0.099923,-0.008586,0.000000,0.000029,0.048970
0.019000,0.099913,0.099914,-0.009060,0.000000,0.000031,0.048966
0.020000,0.099904,0.099904,-0.009534,0.000000,0.000032,0.048961
0.021000,0.099894,0.099895,-0.010008,0.000000,0.000034,0.048956
0.022000,0.099884,0.099884,-0.010481,0.000000,0.000036,0.048951
0.023000,0.099873,0.099874,-0.010954,0.000000,0.000037,0.048946
0.024000,0.099862,0.099863,-0.011427,0.000000,0.000039,0.048940
0.025000,0.099850,0.099851,-0.011899,0.000001,0.000040,0.048934
0.026000,0.099838,0.099839,-0.012371,0.000001,0.000042,0.048928
0.027000,0.099826,0.099826,-0.012843,0.000001,0.000044,0.048921
0.028000,0.099812,0.099813,-0.013314,0.000001,0.000045,0.048915
0.029000,0.099799,0.099800,-0.013785,0.000001,0.000047,0.048908
0.030000,0.099785,0.099785,-0.014256,0.000001,0.000048,0.048901
0.031000,0.099770,0.099771,-0.014726,0.000001,0.000050,0.048894
0.032000,0.099755,0.099756,-0.015196,0.000001,0.000052,0.048886
0.033000,0.099740,0.099741,-0.015666,0.000001,0.000053,0.048878
0.034000,0.099724,0.099725,-0.016135,0.000001,0.000055,0.048870
0.035000,0.099707,0.099708,-0.016604,0.000001,0.000056,0.048862
0.036000,0.099690,0.099692,-0.017072,0.000001,0.000058,0.048853
0.037000,0.099673,0.099674,-0.017540,0.000001,0.000060,0.048844
0.038000,0.099655,0.099656,-0.018008,0.000001,0.000061,0.048835
0.039000,0.099637,0.099638,-0.018475,0.000001,0.000063,0.048826
0.040000,0.099618,0.099619,-0.018942,0.000001,0.000064,0.048817
0.041000,0.099599,0.099600,-0.019409,0.000001,0.000066,0.048807
0.042000,0.099579,0.099581,-0.019875,0.000001,0.000067,0.048797
0.043000,0.099559,0.099561,-0.020341,0.000001,0.000069,0.048787
0.044000,0.099538,0.099540,-0.020806,0.000002,0.000071,0.048776
0.045000,0.099517,0.099519,-0.021271,0.000002,0.000072,0.048765
0.046000,0.099496,0.099497,-0.021736,0.000002,0.000074,0.048754
0.047000,0.099474,0.099475,-0.022200,0.000002,0.000075,0.048743
0.048000,0.099451,0.099453,-0.022664,0.000002,0.000077,0.048732
0.049000,0.099428,0.099430,-0.023127,0.000002,0.000078,0.048720
0.050000,0.099405,0.099407,-0.023590,0.000002,0.000080,0.048708
0.051000,0.099381,0.099383,-0.024052,0.000002,0.000081,0.048696
0.052000,0.099356,0.099359,-0.024514,0.000002,0.000083,0.048684
0.053000,0.099332,0.099334,-0.024976,0.000002,0.000085,0.048671
0.054000,0.099306,0.099309,-0.025437,0.000002,0.000086,0.048658
0.055000,0.099281,0.099283,-0.025898,0.000002,0.000088,0.048645
0.056000,0.099254,0.099257,-0.026358,0.000003,0.000089,0.048631
0.057000,0.099228,0.099230,-0.026818,0.000003,0.000091,0.048618
0.058000,0.099201,0.099203,-0.027277,0.000003,0.000092,0.048604
0.059000,0.099173,0.099176,-0.027736,0.000003,0.000094,0.048590
0.060000,0.099145,0.099148,-0.028195,0.000003,0.000095,0.048576
0.061000,0.099116,0.099119,-0.028653,0.000003,0.000097,0.048561
0.062000,0.099087,0.099091,-0.029110,0.000003,0.000098,0.048546
0.063000,0.099058,0.099061,-0.029567,0.000003,0.000100,0.048531
0.064000,0.099028,0.099031,-0.030024,0.000003,0.000101,0.048516
0.065000,0.098998,0.099001,-0.030480,0.000003,0.000103,0.048500
0.066000,0.098967,0.098970,-0.030936,0.000003,0.000104,0.048484
0.067000,0.098936,0.098939,-0.031391,0.000004,0.000106,0.048468
0.068000,0.098904,0.098908,-0.031846,0.000004,0.000107,0.048452
0.069000,0.098872,0.098876,-0.032300,0.000004,0.000109,0.048436
0.070000,0.098839,0.098843,-0.032754,0.000004,0.000110,0.048419
0.071000,0.098806,0.098810,-0.033207,0.000004,0.000112,0.048402
0.072000,0.098772,0.098777,-0.033660,0.000004,0.000113,0.048385
0.073000,0.098738,0.098743,-0.034112,0.000004,0.000115,0.048367
0.074000,0.098704,0.098708,-0.034563,0.000004,0.000116,0.048350
0.075000,0.098669,0.098674,-0.035015,0.000004,0.000118,0.048332
0.076000,0.098634,0.098638,-0.035465,0.000005,0.000119,0.048314
0.077000,0.098598,0.098603,-0.035915,0.000005,0.000121,0.048295
0.078000,0.098562,0.098567,-0.036365,0.000005,0.000122,0.048276
0.079000,0.098525,0.098530,-0.036814,0.000005,0.000123,0.048258
0.080000,0.098488,0.098493,-0.037263,0.000005,0.000125,0.048238
0.081000,0.098450,0.098455,-0.037711,0.000005,0.000126,0.048219
0.082000,0.098412,0.098417,-0.038158,0.000005,0.000128,0.048200
0.083000,0.098374,0.098379,-0.038605,0.000005,0.000129,0.048180
0.084000,0.098335,0.098340,-0.039052,0.000006,0.000131,0.048160
0.085000,0.098295,0.098301,-0.039498,0.000006,0.000132,0.048139
0.086000,0.098255,0.098261,-0.039943,0.000006,0.000134,0.048119
0.087000,0.098215,0.098221,-0.040388,0.000006,0.000135,0.048098
0.088000,0.098174,0.098181,-0.040832,0.000006,0.000136,0.048077
0.089000,0.098133,0.098139,-0.041276,0.000006,0.000138,0.048056
0.090000,0.098092,0.098098,-0.041719,0.000006,0.000139,0.048034
