# t   analytical   numerical_linear   numerical_nonlinear   error_linear   error_nonlinear   energy_nonlinear
0.0000000000e+00  3.0000000000e-01  3.0000000000e-01  3.0000000000e-01  0.0000000000e+00  0.0000000000e+00  4.3814904168e-01
1.0000000000e-02  2.9985315586e-01  2.9985315586e-01  2.9985534810e-01  2.9976021665e-15  2.1922434921e-06  4.3814736863e-01
2.0000000000e-02  2.9941393888e-01  2.9941393888e-01  2.9942268190e-01  6.5503158453e-15  8.7430233557e-06  4.3813572479e-01
3.0000000000e-02  2.9868452759e-01  2.9868452759e-01  2.9870412861e-01  1.0491607583e-14  1.9601016752e-05  4.3810434027e-01
4.0000000000e-02  2.9766737130e-01  2.9766737130e-01  2.9770206997e-01  1.4599432774e-14  3.4698663732e-05  4.3804369469e-01
5.0000000000e-02  2.9636518607e-01  2.9636518607e-01  2.9641913868e-01  1.9151347175e-14  5.3952609820e-05  4.3794454939e-01
6.0000000000e-02  2.9478095047e-01  2.9478095047e-01  2.9485821471e-01  2.3925306181e-14  7.7264237854e-05  4.3779797818e-01
7.0000000000e-02  2.9291790109e-01  2.9291790109e-01  2.9302242137e-01  2.9309887850e-14  1.0452028432e-04  4.3759539667e-01
8.0000000000e-02  2.9077952783e-01  2.9077952783e-01  2.9091512136e-01  3.4861002973e-14  1.3559353474e-04  4.3732859005e-01
9.0000000000e-02  2.8836956898e-01  2.8836956898e-01  2.8853991257e-01  4.0578651550e-14  1.7034359230e-04  4.3698973916e-01
1.0000000000e-01  2.8569200608e-01  2.8569200608e-01  2.8590062379e-01  4.6740389337e-14  2.0861771321e-04  4.3657144498e-01
1.1000000000e-01  2.8275105855e-01  2.8275105855e-01  2.8300131025e-01  5.3179682880e-14  2.5025170204e-04  4.3606675121e-01
1.2000000000e-01  2.7955117817e-01  2.7955117817e-01  2.7984624903e-01  5.9952043330e-14  2.9507085988e-04  4.3546916511e-01
1.3000000000e-01  2.7609704331e-01  2.7609704331e-01  2.7643993429e-01  6.6835426082e-14  3.4289097778e-04  4.3477267645e-01
1.4000000000e-01  2.7239355302e-01  2.7239355302e-01  2.7278707239e-01  7.3940853440e-14  3.9351936779e-04  4.3397177445e-01
1.5000000000e-01  2.6844582089e-01  2.6844582089e-01  2.6889257682e-01  8.1157303100e-14  4.4675592379e-04  4.3306146283e-01
1.6000000000e-01  2.6425916882e-01  2.6425916882e-01  2.6476156302e-01  8.8651308516e-14  5.0239420394e-04  4.3203727279e-01
1.7000000000e-01  2.5983912049e-01  2.5983912049e-01  2.6039934301e-01  9.6256336235e-14  5.6022252698e-04  4.3089527395e-01
1.8000000000e-01  2.5519139482e-01  2.5519139482e-01  2.5581141990e-01  1.0402789741e-13  6.2002507415e-04  4.2963208323e-01
1.9000000000e-01  2.5032189920e-01  2.5032189920e-01  2.5100348218e-01  1.1202150318e-13  6.8158298894e-04  4.2824487163e-01
2.0000000000e-01  2.4523672252e-01  2.4523672252e-01  2.4598139799e-01  1.2001510896e-13  7.4467546693e-04  4.2673136891e-01
2.1000000000e-01  2.3994212823e-01  2.3994212823e-01  2.4075120906e-01  1.2817524819e-13  8.0908082811e-04  4.2508986615e-01
2.2000000000e-01  2.3444454709e-01  2.3444454709e-01  2.3531912466e-01  1.3627987627e-13  8.7457756442e-04  4.2331921620e-01
2.3000000000e-01  2.2875056992e-01  2.2875056992e-01  2.2969151527e-01  1.4438450435e-13  9.4094535562e-04  4.2141883208e-01
2.4000000000e-01  2.2286694017e-01  2.2286694017e-01  2.2387490621e-01  1.5251688801e-13  1.0079660468e-03  4.1938868321e-01
2.5000000000e-01  2.1680054644e-01  2.1680054644e-01  2.1787597102e-01  1.6067702724e-13  1.0754245817e-03  4.1722928970e-01
2.6000000000e-01  2.1055841486e-01  2.1055841486e-01  2.1170152475e-01  1.6878165532e-13  1.1431098855e-03  4.1494171447e-01
2.7000000000e-01  2.0414770141e-01  2.0414770141e-01  2.0535851710e-01  1.7688628340e-13  1.2108156929e-03  4.1252755350e-01
2.8000000000e-01  1.9757568411e-01  1.9757568411e-01  1.9885402543e-01  1.8499091148e-13  1.2783413155e-03  4.0998892411e-01
2.9000000000e-01  1.9084975521e-01  1.9084975521e-01  1.9219524755e-01  1.9281798380e-13  1.3454923466e-03  4.0732845126e-01
3.0000000000e-01  1.8397741325e-01  1.8397741325e-01  1.8538949455e-01  2.0061730055e-13  1.4120812972e-03  4.0454925216e-01
3.1000000000e-01  1.7696625513e-01  1.7696625513e-01  1.7844418329e-01  2.0827783942e-13  1.4779281624e-03  4.0165491901e-01
3.2000000000e-01  1.6982396802e-01  1.6982396802e-01  1.7136682894e-01  2.1574408926e-13  1.5428609157e-03  3.9864950009e-01
3.3000000000e-01  1.6255832140e-01  1.6255832140e-01  1.6416503733e-01  2.2312707237e-13  1.6067159292e-03  3.9553747921e-01
3.4000000000e-01  1.5517715887e-01  1.5517715887e-01  1.5684649719e-01  2.3020474416e-13  1.6693383183e-03  3.9232375371e-01
3.5000000000e-01  1.4768839011e-01  1.4768839011e-01  1.4941897232e-01  2.3717139364e-13  1.7305822126e-03  3.8901361095e-01
3.6000000000e-01  1.4009998271e-01  1.4009998271e-01  1.4189029366e-01  2.4377722063e-13  1.7903109505e-03  3.8561270355e-01
3.7000000000e-01  1.3241995405e-01  1.3241995405e-01  1.3426835125e-01  2.5024426975e-13  1.8483972017e-03  3.8212702330e-01
3.8000000000e-01  1.2465636314e-01  1.2465636314e-01  1.2656108615e-01  2.5637825196e-13  1.9047230163e-03  3.7856287410e-01
3.9000000000e-01  1.1681730251e-01  1.1681730251e-01  1.1877648232e-01  2.6230406736e-13  1.9591798040e-03  3.7492684379e-01
4.0000000000e-01  1.0891089010e-01  1.0891089010e-01  1.1092255835e-01  2.6788293805e-13  2.0116682474e-03  3.7122577516e-01
4.1000000000e-01  1.0094526115e-01  1.0094526115e-01  1.0300735929e-01  2.7321200857e-13  2.0620981492e-03  3.6746673621e-01
4.2000000000e-01  9.2928560126e-02  9.2928560126e-02  9.5038948347e-02  2.7805535652e-13  2.1103882209e-03  3.6365698973e-01
4.3000000000e-01  8.4868932755e-02  8.4868932755e-02  8.7025398569e-02  2.8266278207e-13  2.1564658142e-03  3.5980396247e-01
4.4000000000e-01  7.6774517998e-02  7.6774517998e-02  7.8974784599e-02  2.8688162956e-13  2.2002666011e-03  3.5591521390e-01
4.5000000000e-01  6.8653440153e-02  6.8653440153e-02  7.0895174360e-02  2.9072577679e-13  2.2417342076e-03  3.5199840468e-01
4.6000000000e-01  6.0513800996e-02  6.0513800996e-02  6.2794620801e-02  2.9416052927e-13  2.2808198051e-03  3.4806126516e-01
4.7000000000e-01  5.2363671988e-02  5.2363671989e-02  5.4681153655e-02  2.9717894812e-13  2.3174816664e-03  3.4411156381e-01
4.8000000000e-01  4.4211086569e-02  4.4211086569e-02  4.6562771259e-02  2.9976715554e-13  2.3516846902e-03  3.4015707584e-01
4.9000000000e-01  3.6064032520e-02  3.6064032521e-02  3.8447432422e-02  3.0198760159e-13  2.3833999020e-03  3.3620555212e-01
5.0000000000e-01  2.7930444435e-02  2.7930444435e-02  3.0343048369e-02  3.0370150839e-13  2.4126039346e-03  3.3226468856e-01
5.1000000000e-01  1.9818196267e-02  1.9818196267e-02  2.2257474764e-02  3.0497479542e-13  2.4392784965e-03  3.2834209594e-01
5.2000000000e-01  1.1735094002e-02  1.1735094003e-02  1.4198503835e-02  3.0583868771e-13  2.4634098325e-03  3.2444527054e-01
5.3000000000e-01  3.6888684244e-03  3.6888684247e-03  6.1738566070e-03  3.0617132094e-13  2.4849881826e-03  3.2058156547e-01
5.4000000000e-01  -4.3128319933e-03  -4.3128319930e-03  -1.8088247485e-03  3.0608328372e-13  2.5040072448e-03  3.1675816290e-01
5.5000000000e-01  -1.2262448075e-02  -1.2262448075e-02  -9.7419844277e-03  3.0545357910e-13  2.5204636477e-03  3.1298204735e-01
5.6000000000e-01  -2.0152516804e-02  -2.0152516803e-02  -1.7618160366e-02  3.0437458109e-13  2.5343564372e-03  3.0925998009e-01
5.7000000000e-01  -2.7975678040e-02  -2.7975678039e-02  -2.5429991457e-02  3.0274394103e-13  2.5456865827e-03  3.0559847467e-01
5.8000000000e-01  -3.5724681109e-02  -3.5724681108e-02  -3.3170224601e-02  3.0054431166e-13  2.5544565078e-03  3.0200377386e-01
5.9000000000e-01  -4.3392391235e-02  -4.3392391234e-02  -4.0831721586e-02  2.9789365419e-13  2.5606696489e-03  2.9848182785e-01
6.0000000000e-01  -5.0971795825e-02  -5.0971795825e-02  -4.8407465779e-02  2.9479196861e-13  2.5643300459e-03  2.9503827404e-01
6.1000000000e-01  -5.8456010600e-02  -5.8456010599e-02  -5.5890568630e-02  2.9110741595e-13  2.5654419693e-03  2.9167841821e-01
6.2000000000e-01  -6.5838285552e-02  -6.5838285552e-02  -6.3274275967e-02  2.8697877408e-13  2.5640095852e-03  2.8840721740e-01
6.3000000000e-01  -7.3112010751e-02  -7.3112010751e-02  -7.0551974089e-02  2.8226032622e-13  2.5600366619e-03  2.8522926430e-01
6.4000000000e-01  -8.0270721967e-02  -8.0270721966e-02  -7.7717195646e-02  2.7708391137e-13  2.5535263203e-03  2.8214877341e-01
6.5000000000e-01  -8.7308106119e-02  -8.7308106119e-02  -8.4763625290e-02  2.7132462943e-13  2.5444808286e-03  2.7916956887e-01
6.6000000000e-01  -9.4218006550e-02  -9.4218006549e-02  -9.1685105105e-02  2.6510738049e-13  2.5329014442e-03  2.7629507400e-01
6.7000000000e-01  -1.0099442811e-01  -1.0099442811e-01  -9.8475639805e-02  2.5834889783e-13  2.5187883015e-03  2.7352830268e-01
6.8000000000e-01  -1.0763154204e-01  -1.0763154204e-01  -1.0512940169e-01  2.5100754808e-13  2.5021403474e-03  2.7087185235e-01
6.9000000000e-01  -1.1412369071e-01  -1.1412369071e-01  -1.1164073538e-01  2.4322210912e-13  2.4829553238e-03  2.6832789895e-01
7.0000000000e-01  -1.2046539209e-01  -1.2046539209e-01  -1.1800416229e-01  2.3496482537e-13  2.4612297956e-03  2.6589819344e-01
7.1000000000e-01  -1.2665134409e-01  -1.2665134409e-01  -1.2421438486e-01  2.2606916339e-13  2.4369592243e-03  2.6358406021e-01
7.2000000000e-01  -1.3267642865e-01  -1.3267642865e-01  -1.3026629056e-01  2.1674328998e-13  2.4101380847e-03  2.6138639715e-01
7.3000000000e-01  -1.3853571566e-01  -1.3853571566e-01  -1.3615495563e-01  2.0694557179e-13  2.3807600226e-03  2.5930567738e-01
7.4000000000e-01  -1.4422446663e-01  -1.4422446663e-01  -1.4187564858e-01  1.9670376439e-13  2.3488180520e-03  2.5734195274e-01
7.5000000000e-01  -1.4973813823e-01  -1.4973813823e-01  -1.4742383344e-01  1.8596235662e-13  2.3143047888e-03  2.5549485880e-01
7.6000000000e-01  -1.5507238551e-01  -1.5507238551e-01  -1.5279517279e-01  1.7477685965e-13  2.2772127167e-03  2.5376362150e-01
7.7000000000e-01  -1.6022306498e-01  -1.6022306498e-01  -1.5798553049e-01  1.6314727347e-13  2.2375344844e-03  2.5214706530e-01
7.8000000000e-01  -1.6518623748e-01  -1.6518623748e-01  -1.6299097425e-01  1.5107359808e-13  2.1952632282e-03  2.5064362276e-01
7.9000000000e-01  -1.6995817078e-01  -1.6995817078e-01  -1.6780777786e-01  1.3855583347e-13  2.1503929178e-03  2.4925134561e-01
8.0000000000e-01  -1.7453534202e-01  -1.7453534202e-01  -1.7243242330e-01  1.2562173524e-13  2.1029187211e-03  2.4796791699e-01
8.1000000000e-01  -1.7891443987e-01  -1.7891443987e-01  -1.7686160249e-01  1.1238232567e-13  2.0528373825e-03  2.4679066514e-01
8.2000000000e-01  -1.8309236654e-01  -1.8309236654e-01  -1.8109221892e-01  9.8643315738e-14  2.0001476136e-03  2.4571657813e-01
8.3000000000e-01  -1.8706623949e-01  -1.8706623949e-01  -1.8512138900e-01  8.4487972174e-14  1.9448504887e-03  2.4474231976e-01
8.4000000000e-01  -1.9083339300e-01  -1.9083339300e-01  -1.8894644315e-01  6.9999561703e-14  1.8869498433e-03  2.4386424649e-01
8.5000000000e-01  -1.9439137946e-01  -1.9439137946e-01  -1.9256492679e-01  5.5233595475e-14  1.8264526708e-03  2.4307842530e-01
